id,name.local,name.en,name.slug,code.id,children_count.settlement,zip_codes,geo.lat,geo.lon
KG02205000000,Ак-Суу,Ak-Suu,ak-suu-02205,KG02205000000,14,722200,42.285,79.276
KG02420000010,Балыкчы ш.,Balykchy (city),balykchy-city-00001,KG02420000010,1,721900,42.455,76.183
KG02215000000,Ысык-Көл,Issyk-Kul,issyk-kul-02215,KG02215000000,13,722100,42.703,76.99
KG02210000000,Жети-Өгүз,Jeti-Oguz,jeti-oguz-g0221,KG02210000000,12,722300,41.881,78.176
KG02410000010,Каракол ш.,Karakol (city),karakol-city-00001,KG02410000010,1,722200,42.49,78.394
KG02220000000,Тоӊ,Ton,ton-g0222,KG02220000000,9,722800,42.086,76.733
KG02225000000,Түп,Tup,tup-02225,KG02225000000,13,722700,42.744,78.639
