id,level,level_name.local,level_name.en,name.local,name.en,name.slug,code.id,code.iso,parent.id,parent.name.local,parent.name.en,children_count.region,children_count.district,children_count.settlement,zip_codes,geo.lat,geo.lon
KG02000000000,1,Область,Region,Ысык-Көл,Issyk-Kul,issyk-kul-kg02,KG02000000000,,,,,,7,63,,42.062,78.159
KG02205000000,2,Район,District,Ак-Суу,Ak-Suu,ak-suu-02205,KG02205000000,,KG02000000000,Ысык-Көл,Issyk-Kul,,,14,722200,42.285,79.276
KG02210000000,2,Район,District,Жети-Өгүз,Jeti-Oguz,jeti-oguz-g0221,KG02210000000,,KG02000000000,Ысык-Көл,Issyk-Kul,,,12,722300,41.881,78.176
KG02215000000,2,Район,District,Ысык-Көл,Issyk-Kul,issyk-kul-02215,KG02215000000,,KG02000000000,Ысык-Көл,Issyk-Kul,,,13,722100,42.703,76.99
KG02220000000,2,Район,District,Тоӊ,Ton,ton-g0222,KG02220000000,,KG02000000000,Ысык-Көл,Issyk-Kul,,,9,722800,42.086,76.733
KG02225000000,2,Район,District,Түп,Tup,tup-02225,KG02225000000,,KG02000000000,Ысык-Көл,Issyk-Kul,,,13,722700,42.744,78.639
KG02410000010,2,Район,District,Каракол ш.,Karakol (city),karakol-city-00001,KG02410000010,,KG02000000000,Ысык-Көл,Issyk-Kul,,,1,722200,42.49,78.394
KG02420000010,2,Район,District,Балыкчы ш.,Balykchy (city),balykchy-city-00001,KG02420000010,,KG02000000000,Ысык-Көл,Issyk-Kul,,,1,721900,42.455,76.183
KG03000000000,1,Область,Region,Жалалабат,Jalal-Abad,jalal-abad-kg03,KG03000000000,,,,,,13,75,,41.513,73.218
KG03204000000,2,Район,District,Ала-Бука,Ala-Buka,ala-buka-03204,KG03204000000,,KG03000000000,Жалалабат,Jalal-Abad,,,8,721500,41.427,70.925
KG03207000000,2,Район,District,Базар-Коргон,Bazar-Korgon,bazar-korgon-03207,KG03207000000,,KG03000000000,Жалалабат,Jalal-Abad,,,9,720800,41.235,72.887
KG03211000000,2,Район,District,Аксы,Aksy,aksy-03211,KG03211000000,,KG03000000000,Жалалабат,Jalal-Abad,,,12,720600,41.566,72.03
KG03215000000,2,Район,District,Ноокен,Nooken,nooken-03215,KG03215000000,,KG03000000000,Жалалабат,Jalal-Abad,,,9,721200,41.232,72.617
KG03220000000,2,Район,District,Сузак,Suzak,suzak-g0322,KG03220000000,,KG03000000000,Жалалабат,Jalal-Abad,,,13,721300,41.09,73.161
KG03220400010,2,Район,District,Көк-Жаңгак ш.,Kok-Zhangak (city),kok-zhangak-city-40001,KG03220400010,,KG03000000000,Жалалабат,Jalal-Abad,,,0,721300,41.013,73.209
KG03223000000,2,Район,District,Тогуз-Торо,Toguz-Toro,toguz-toro-03223,KG03223000000,,KG03000000000,Жалалабат,Jalal-Abad,,,5,721500,41.309,73.978
KG03225000000,2,Район,District,Токтогул,Toktogul,toktogul-03225,KG03225000000,,KG03000000000,Жалалабат,Jalal-Abad,,,11,721600,41.831,73.191
KG03230000000,2,Район,District,Чаткал,Chatkal,chatkal-g0323,KG03230000000,,KG03000000000,Жалалабат,Jalal-Abad,,,4,721700,41.712,70.919
KG03410000010,2,Район,District,Жалал-Абад ш.,Jalal-Abad (city),jalal-abad-city-00001,KG03410000010,,KG03000000000,Жалалабат,Jalal-Abad,,,0,720900,40.933,72.997
KG03420000010,2,Район,District,Таш-Көмүр ш.,Tash-Kumir (city),tash-kumir-city-00001,KG03420000010,,KG03000000000,Жалалабат,Jalal-Abad,,,2,721400,41.373,72.196
KG03430000010,2,Район,District,Майлуу-Суу ш.,Mailuu-Suu (city),mailuu-suu-city-00001,KG03430000010,,KG03000000000,Жалалабат,Jalal-Abad,,,1,721101,41.258,72.441
KG03440000010,2,Район,District,Кара-Көл ш.,Kara-Kul (city),kara-kul-city-00001,KG03440000010,,KG03000000000,Жалалабат,Jalal-Abad,,,1,721000,41.724,73.128
KG04000000000,1,Область,Region,Нарын,Naryn,naryn-kg04,KG04000000000,,,,,,6,60,,41.366,75.993
KG04210000000,2,Район,District,Ак-Талаа,Ak-Tala,ak-tala-g0421,KG04210000000,,KG04000000000,Нарын,Naryn,,,13,722500,41.331,74.8
KG04220000000,2,Район,District,Ат-Башы,Ak-Bashy,ak-bashy-g0422,KG04220000000,,KG04000000000,Нарын,Naryn,,,12,722600,40.856,75.46
KG04230000000,2,Район,District,Жумгал,Jumgal,jumgal-g0423,KG04230000000,,KG04000000000,Нарын,Naryn,,,10,722700,41.893,74.589
KG04235000000,2,Район,District,Кочкор,Kochokor,kochokor-04235,KG04235000000,,KG04000000000,Нарын,Naryn,,,11,722800,42.095,75.614
KG04245000000,2,Район,District,Нарын,Naryn,naryn-04245,KG04245000000,,KG04000000000,Нарын,Naryn,,,14,722900,41.511,75.906
KG04400000010,2,Район,District,Нарын ш.,Naryn (city),naryn-city-00001,KG04400000010,,KG04000000000,Нарын,Naryn,,,0,722900,41.418,76.001
KG05000000000,1,Область,Region,Баткен,Batken,batken-kg05,KG05000000000,,,,,,6,34,,39.868,71.57
KG05214000000,2,Район,District,Баткен,Batken,batken-05214,KG05214000000,,KG05000000000,Баткен,Batken,,,9,720100,39.841,70.98
KG05236000000,2,Район,District,Лейлек,Leilek,leilek-05236,KG05236000000,,KG05000000000,Баткен,Batken,,,10,720400,39.877,69.739
KG05258000000,2,Район,District,Кадамжай,Kadamjai,kadamjai-05258,KG05258000000,,KG05000000000,Баткен,Batken,,,14,720200,39.998,71.491
KG05410000010,2,Район,District,Баткен ш.,Batken (city),batken-city-00001,KG05410000010,,KG05000000000,Баткен,Batken,,,0,720100,40.089,70.809
KG05420000010,2,Район,District,Сүлүктү ш.,Sulukta (city),sulukta-city-00001,KG05420000010,,KG05000000000,Баткен,Batken,,,1,720500,39.936,69.578
KG05430000010,2,Район,District,Кызыл-Кыя ш.,Kyzyl-Kia (city),kyzyl-kia-city-00001,KG05430000010,,KG05000000000,Баткен,Batken,,,0,720300,40.247,72.14
KG06000000000,1,Область,Region,Ош,Osh,osh-kg06,KG06000000000,,,,,,7,79,,40.164,73.361
KG06207000000,2,Район,District,Алай,Alai,alai-06207,KG06207000000,,KG06000000000,Ош,Osh,,,11,723000,39.925,73.569
KG06211000000,2,Район,District,Араван,Aravan,aravan-06211,KG06211000000,,KG06000000000,Ош,Osh,,,6,723100,40.48,72.563
KG06226000000,2,Район,District,Кара-Суу,Kara-Suu,kara-suu-06226,KG06226000000,,KG06000000000,Ош,Osh,,,16,723301,40.292,73.121
KG06242000000,2,Район,District,Ноокат,Nookat,nookat-06242,KG06242000000,,KG06000000000,Ош,Osh,,,14,723400,40.106,72.712
KG06246000000,2,Район,District,Кара-Кулжа,Kara-Kulja,kara-kulja-06246,KG06246000000,,KG06000000000,Ош,Osh,,,11,723200,40.436,74.173
KG06255000000,2,Район,District,Өзгөн,Uzgen,uzgen-06255,KG06255000000,,KG06000000000,Ош,Osh,,,18,723400,40.808,73.67
KG06259000000,2,Район,District,Чоӊ-Алай,Chon-Alai,chon-alai-06259,KG06259000000,,KG06000000000,Ош,Osh,,,3,723000,39.507,72.231
KG07000000000,1,Область,Region,Талас,Talas,talas-kg07,KG07000000000,,,,,,5,36,,42.445,72.133
KG07215000000,2,Район,District,Кара-Буура,Kara-Buura,kara-buura-07215,KG07215000000,,KG07000000000,Талас,Talas,,,9,724900,42.479,71.409
KG07220000000,2,Район,District,Бакай-Ата,Bakai-Ata,bakai-ata-g0722,KG07220000000,,KG07000000000,Талас,Talas,,,9,724900,42.361,71.925
KG07225000000,2,Район,District,Манас,Manas,manas-07225,KG07225000000,,KG07000000000,Талас,Talas,,,5,720900,42.694,71.807
KG07232000000,2,Район,District,Талас,Talas,talas-07232,KG07232000000,,KG07000000000,Талас,Talas,,,13,724200,42.409,72.912
KG07400000010,2,Район,District,Талас ш.,Talas (city),talas-city-00001,KG07400000010,,KG07000000000,Талас,Talas,,,0,724200,42.524,72.243
KG08000000000,1,Область,Region,Чүй,Chui,chui-kg08,KG08000000000,,,,,,9,113,,42.555,74.622
KG08203000000,2,Район,District,Аламүдүн,Alamudun,alamudun-08203,KG08203000000,,KG08000000000,Чүй,Chui,,,17,725200,42.633,74.563
KG08206000000,2,Район,District,Ысык-Ата,Ysyk-Ata,ysyk-ata-08206,KG08206000000,,KG08000000000,Чүй,Chui,,,19,725100,42.711,74.953
KG08209000000,2,Район,District,Жайыл,Jaiyl,jaiyl-08209,KG08209000000,,KG08000000000,Чүй,Chui,,,13,724400,42.074,74.097
KG08213000000,2,Район,District,Кемин,Kemin,kemin-08213,KG08213000000,,KG08000000000,Чүй,Chui,,,14,724500,42.717,75.901
KG08217000000,2,Район,District,Москва,Moscow,moscow-08217,KG08217000000,,KG08000000000,Чүй,Chui,,,12,725300,42.777,74.041
KG08219000000,2,Район,District,Панфилов,Panfilov,panfilov-08219,KG08219000000,,KG08000000000,Чүй,Chui,,,8,724700,42.205,73.375
KG08222000000,2,Район,District,Сокулук,Sokuluk,sokuluk-08222,KG08222000000,,KG08000000000,Чүй,Chui,,,20,724800,42.849,74.391
KG08223000000,2,Район,District,Чүй,Chui,chui-08223,KG08223000000,,KG08000000000,Чүй,Chui,,,10,725300,42.649,75.305
KG08400000010,2,Район,District,Токмок ш.,Tokmok (city),tokmok-city-00001,KG08400000010,,KG08000000000,Чүй,Chui,,,0,725400,42.821,75.322
KG11000000000,1,Область,Region,Бишкек ш.,Bishkek (city),bishkek-city-kg11,KG11000000000,,,,,,0,0,,42.871,74.6
KG21000000000,1,Область,Region,Ош ш.,Osh (city),osh-city-kg21,KG21000000000,,,,,,0,0,,40.531,72.795
