id,name.local,name.en,name.slug,code.id,children_count.settlement,zip_codes,geo.lat,geo.lon
KG03211000000,Аксы,Aksy,aksy-03211,KG03211000000,12,720600,41.566,72.03
KG03204000000,Ала-Бука,Ala-Buka,ala-buka-03204,KG03204000000,8,721500,41.427,70.925
KG03207000000,Базар-Коргон,Bazar-Korgon,bazar-korgon-03207,KG03207000000,9,720800,41.235,72.887
KG03230000000,Чаткал,Chatkal,chatkal-g0323,KG03230000000,4,721700,41.712,70.919
KG03410000010,Жалал-Абад ш.,Jalal-Abad (city),jalal-abad-city-00001,KG03410000010,0,720900,40.933,72.997
KG03440000010,Кара-Көл ш.,Kara-Kul (city),kara-kul-city-00001,KG03440000010,1,721000,41.724,73.128
KG03220400010,Көк-Жаңгак ш.,Kok-Zhangak (city),kok-zhangak-city-40001,KG03220400010,0,721300,41.013,73.209
KG03430000010,Майлуу-Суу ш.,Mailuu-Suu (city),mailuu-suu-city-00001,KG03430000010,1,721101,41.258,72.441
KG03215000000,Ноокен,Nooken,nooken-03215,KG03215000000,9,721200,41.232,72.617
KG03220000000,Сузак,Suzak,suzak-g0322,KG03220000000,13,721300,41.09,73.161
KG03420000010,Таш-Көмүр ш.,Tash-Kumir (city),tash-kumir-city-00001,KG03420000010,2,721400,41.373,72.196
KG03223000000,Тогуз-Торо,Toguz-Toro,toguz-toro-03223,KG03223000000,5,721500,41.309,73.978
KG03225000000,Токтогул,Toktogul,toktogul-03225,KG03225000000,11,721600,41.831,73.191
