id,name.local,name.en,name.slug,code.id,children_count.settlement,zip_codes,geo.lat,geo.lon
KG08203000000,Аламүдүн,Alamudun,alamudun-08203,KG08203000000,17,725200,42.633,74.563
KG08223000000,Чүй,Chui,chui-08223,KG08223000000,10,725300,42.649,75.305
KG08209000000,Жайыл,Jaiyl,jaiyl-08209,KG08209000000,13,724400,42.074,74.097
KG08213000000,Кемин,Kemin,kemin-08213,KG08213000000,14,724500,42.717,75.901
KG08217000000,Москва,Moscow,moscow-08217,KG08217000000,12,725300,42.777,74.041
KG08219000000,Панфилов,Panfilov,panfilov-08219,KG08219000000,8,724700,42.205,73.375
KG08222000000,Сокулук,Sokuluk,sokuluk-08222,KG08222000000,20,724800,42.849,74.391
KG08400000010,Токмок ш.,Tokmok (city),tokmok-city-00001,KG08400000010,0,725400,42.821,75.322
KG08206000000,Ысык-Ата,Ysyk-Ata,ysyk-ata-08206,KG08206000000,19,725100,42.711,74.953
