id,name.local,name.en,name.slug,code.id,children_count.settlement,zip_codes,geo.lat,geo.lon
KG06207000000,Алай,Alai,alai-06207,KG06207000000,11,723000,39.925,73.569
KG06211000000,Араван,Aravan,aravan-06211,KG06211000000,6,723100,40.48,72.563
KG06259000000,Чоӊ-Алай,Chon-Alai,chon-alai-06259,KG06259000000,3,723000,39.507,72.231
KG06246000000,Кара-Кулжа,Kara-Kulja,kara-kulja-06246,KG06246000000,11,723200,40.436,74.173
KG06226000000,Кара-Суу,Kara-Suu,kara-suu-06226,KG06226000000,16,723301,40.292,73.121
KG06242000000,Ноокат,Nookat,nookat-06242,KG06242000000,14,723400,40.106,72.712
KG06255000000,Өзгөн,Uzgen,uzgen-06255,KG06255000000,18,723400,40.808,73.67
